	ID_sample	TypeMutation	ExpressionGene
527	BA3180	NonMut	0.6654326774634189
528	BA3181	NonMut	0.2853095046629166
529	BA3182	NonMut	0.4820291055658831
530	BA3183	NonMut	0.5205419854700545
531	BA3185	NonMut	0.1887930590401242
532	BA3186	NonMut	0.8556351390761217
533	BA3187	NonMut	0.3640025341232009
534	BA3189	NonMut	0.6953837671597553
535	BA3190	NonMut	0.2063588954909127
536	BA3191	NonMut	0.3470211967509229
537	BA3192	NonMut	0.5290873589812648
538	BA3194	NonMut	0.2907391298879882
539	BA3195	NonMut	0.6795131680401585
540	BA3197	NonMut	0.3925798441882347
541	BA3199	NonMut	0.3683258922645316
542	BA3200	NonMut	0.5703347124212974
543	BA3202	NonMut	0.1585607527447382
544	BA3203	NonMut	0.2021318292718289
545	BA3206	NonMut	0.3054029361585556
546	BA3207	NonMut	0.4022451961946818
547	BA3208	NonMut	0.3509959283739198
548	BA3210	NonMut	0.3897197689574871
549	BA3212	NonMut	0.462977491620602
550	BA3213	NonMut	0.623315471859848
551	BA3214	NonMut	0.2287101010877497
552	BA3216	NonMut	0.3935287074904569
553	BA3217	NonMut	0.6674490439459047
554	BA3219	NonMut	0.140652217771848
555	BA3221	NonMut	0.1453516313431951
556	BA3222	NonMut	0.2386519718525283
557	BA3225	NonMut	0.3437275867685899
558	BA3226	NonMut	0.6001027365795609
559	BA3227	NonMut	0.7612033280690397
560	BA3230	NonMut	0.2993677379279945
561	BA3232	NonMut	0.4090506746754818
562	BA3234	NonMut	0.4096002524563868
563	BA3235	NonMut	0.2153840453952324
564	BA3237	NonMut	0.2731221081648503
565	BA3240	NonMut	0.6055565355291733
566	BA3243	NonMut	0.3565320994115399
567	BA3245	NonMut	0.3474752642131753
568	BA3249	NonMut	0.2979370074847912
569	BA3250	NonMut	0.5288239304614563
570	BA3251	NonMut	0.37682137352656
571	BA3255	NonMut	0.4513098386747018
572	BA3258	NonMut	0.2433264742198979
573	BA3260	NonMut	0.1656328874061395
574	BA3261	NonMut	0.1746876068794424
575	BA3264	NonMut	0.6322409702114022
